2.758999999999999773e+02 6.935067008856018680e-46
2.759040240724071964e+02 7.121549054777452296e-46
2.759080481448144724e+02 7.313021277054316915e-46
2.759120722172216915e+02 7.509616557411864249e-46
2.759160962896289675e+02 7.711471298562982384e-46
2.759201203620361866e+02 7.918725517015914334e-46
2.759241444344434058e+02 8.131522938359132615e-46
2.759281685068506818e+02 8.350011095016534642e-46
2.759321925792579009e+02 8.574341426565246252e-46
2.759362166516651200e+02 8.804669382712611446e-46
2.759402407240723960e+02 9.041154528944647910e-46
2.759442647964796151e+02 9.283960654943020922e-46
2.759482888688868911e+02 9.533255885878148661e-46
2.759523129412941103e+02 9.789212796567379097e-46
2.759563370137013294e+02 1.005200852867675186e-45
2.759603610861086054e+02 1.032182491095941265e-45
2.759643851585158245e+02 1.059884858264130984e-45
2.759684092309230437e+02 1.088327112007481734e-45
2.759724333033303196e+02 1.117528916667492022e-45
2.759764573757375388e+02 1.147510456625610857e-45
2.759804814481448147e+02 1.178292449990353495e-45
2.759845055205520339e+02 1.209896162636316867e-45
2.759885295929592530e+02 1.242343422617247081e-45
2.759925536653665290e+02 1.275656634951940367e-45
2.759965777377737481e+02 1.309858796796998546e-45
2.760006018101809673e+02 1.344973513020881401e-45
2.760046258825882433e+02 1.381025012181166085e-45
2.760086499549954624e+02 1.418038162919651684e-45
2.760126740274027384e+02 1.456038490791470234e-45
2.760166980998099575e+02 1.495052195526500971e-45
2.760207221722171766e+02 1.535106168750140332e-45
2.760247462446244526e+02 1.576228012162108145e-45
2.760287703170316718e+02 1.618446056190232752e-45
2.760327943894389477e+02 1.661789379137826119e-45
2.760368184618461669e+02 1.706287826822523125e-45
2.760408425342533860e+02 1.751972032737467058e-45
2.760448666066606620e+02 1.798873438733196283e-45
2.760488906790678811e+02 1.847024316239672438e-45
2.760529147514751003e+02 1.896457788048581029e-45
2.760569388238823763e+02 1.947207850658926588e-45
2.760609628962895954e+02 1.999309397205521514e-45
2.760649869686968714e+02 2.052798240993964057e-45
2.760690110411040905e+02 2.107711139638672224e-45
2.760730351135113096e+02 2.164085819842566884e-45
2.760770591859185856e+02 2.221961002815909564e-45
2.760810832583258048e+02 2.281376430358286539e-45
2.760851073307330239e+02 2.342372891628630954e-45
2.760891314031402999e+02 2.404992250606571546e-45
2.760931554755475190e+02 2.469277474269604228e-45
2.760971795479547950e+02 2.535272661514569901e-45
